Index,Variable,Permutation,Questions,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10
1,FPNATINT,yes,[PLACEHOLDER] thinks that,The national interests of Russia for the most part should be limited to its current territory.,The national interests of Russia for the most part should extend beyond its current territory.,,,,,,,,
2,FPNATINT1,yes,[PLACEHOLDER] thinks that ,Russia has vital interests in the 'Near Abroad' but not beyond that.,"Russia has vital interests in the 'Near Abroad' and Eastern Europe, but not beyond that.","Russia has vital interests not only in the 'Near Abroad' and Eastern Europe, but also in various parts of the world.",,,,,,,
3,MILROLE,yes,[PLACEHOLDER] thinks that,Military force ultimately decides everything in international relations.,"The economic, and not military, potential of a country determines the place and role of a country in the world today.",,,,,,,,
4,RUS_N_EU,yes,[PLACEHOLDER] thinks that,Russia and the European Union should be completely independent of each another.,Russia and the European Union should be partially independent of each another.,Russia should become a member of the European Union in the future.,,,,,,,
5,RUS_N_UK,yes,[PLACEHOLDER] thinks that,Russia and Ukraine should be completely independent countries.,Russia and Ukraine should be partially independent countries.,Russia and Ukraine should be united into a single country.,,,,,,,
6,RUS_BEL,yes,[PLACEHOLDER] thinks that,Russia and Belarus should be completely independent countries.,Russia and Belarus should be partially independent countries.,Russia and Belarus should be united into a single country.,,,,,,,
7,CHINAF,yes,[PLACEHOLDER] thinks that,China is friendly toward Russia,China is neutral toward Russia,China is hostile toward Russia,,,,,,,
8,UKRAINEF,yes,[PLACEHOLDER] thinks that,Ukraine is friendly toward Russia,Ukraine is neutral toward Russia,Ukraine is hostile toward Russia,,,,,,,
9,USF,yes,[PLACEHOLDER] thinks that,US is friendly toward Russia,US is neutral toward Russia,US is hostile toward Russia,,,,,,,
10,ESTONIAF,yes,[PLACEHOLDER] thinks that,Estonia is friendly toward Russia,Estonia is neutral toward Russia,Estonia is hostile toward Russia,,,,,,,
11,POLANDF,yes,[PLACEHOLDER] thinks that,Poland is friendly toward Russia,Poland is neutral toward Russia,Poland is hostile toward Russia,,,,,,,
12,GERMANYF,yes,[PLACEHOLDER] thinks that,Germany is friendly toward Russia,Germany is neutral toward Russia,Germany is hostile toward Russia,,,,,,,
13,JAPANF,yes,[PLACEHOLDER] thinks that,Japan is friendly toward Russia,Japan is neutral toward Russia,Japan is hostile toward Russia,,,,,,,
14,GEORGIAF,yes,[PLACEHOLDER] thinks that,Georgia is friendly toward Russia,Georgia is neutral toward Russia,Georgia is hostile toward Russia,,,,,,,
15,EUF,yes,[PLACEHOLDER] thinks that,European Union is friendly toward Russia,European Union is neutral toward Russia,European Union is hostile toward Russia,,,,,,,
16,GBF,yes,[PLACEHOLDER] thinks that,Great Britain is friendly toward Russia,Great Britain is neutral toward Russia,Great Britain is hostile toward Russia,,,,,,,
17,NATOF,yes,[PLACEHOLDER] thinks that,NATO is friendly toward Russia,NATO is neutral toward Russia,NATO is hostile toward Russia,,,,,,,
18,COALITION,yes,[PLACEHOLDER] would prefer Russia to form a coalition with,China,European Union,US,,,,,,,
19,UKROPTIONS,yes,[PLACEHOLDER] would prefer,eastern Ukraine to become part of the Russian Federation.,eastern Ukraine to become an independent government.,eastern Ukraine to remain part of Ukraine,,,,,,,
20,RELUSRU,yes,[PLACEHOLDER] thinks that the deterioration of US-Russian relations over the past five to ten years happened because of,Mostly the US,Mostly Russia,Both the US and Russia in roughly equal measure,,,,,,,
21,WESTPLOT,yes,[PLACEHOLDER] thinks that,Today's hostile relations between Ukraine and Russia are the result of plots by Western countries,Both,Today's hostile relations between Ukraine and Russia are the result of mistakes made by the Russian government.,,,,,,,
22,RUSSMISST,yes,[PLACEHOLDER] thinks that,Russia's economic problems in the 1990s were the result of missteps by the Russian leadership.,Both,Russia's economic problems in the 1990s were the result of Western influence.,,,,,,,
23,INTERFUS,yes,[PLACEHOLDER] would say that the US interfered in Russian politics during the 2011-12 electoral cycle,Yes,No,,,,,,,,
24,INTERFRUS,yes,[PLACEHOLDER] thinks that Russia interfered in the 2016 US presidential election…,Yes,No,,,,,,,,
25,DANINEQ,yes,[PLACEHOLDER] thinks that a rise in economic inequality in Russia represents,The absence of danger,Moderate danger,The utmost danger,,,,,,,
26,DANINFL,yes,[PLACEHOLDER] thinks that a rise in prices and inflation in Russia represents,The absence of danger,Moderate danger,The utmost danger,,,,,,,
27,DANENVIR,yes,[PLACEHOLDER] thinks that environmental pollution in Russia represents,The absence of danger,Moderate danger,The utmost danger,,,,,,,
28,DANOIL,yes,[PLACEHOLDER] thinks that a decrease in the price of oil in Russia represents,The absence of danger,Moderate danger,The utmost danger,,,,,,,
29,DANSANCT,yes,[PLACEHOLDER] thinks that Western sanctions imposed on Russia represent,The absence of danger,Moderate danger,The utmost danger,,,,,,,
30,DANPROTEST,yes,[PLACEHOLDER] thinks that a rise in protest activity in Russia represents,The absence of danger,Moderate danger,The utmost danger,,,,,,,
31,DANSUCC,yes,[PLACEHOLDER] thinks that a succession struggle in Russia in Russia represents,The absence of danger,Moderate danger,The utmost danger,,,,,,,
32,SECUSPOWER,yes,[PLACEHOLDER] thinks that the growth of US military power compared to that of Russia represents the greatest threat to the security of Russia,The absence of danger,Moderate danger,The utmost danger,,,,,,,
33,SECDOMES,yes,[PLACEHOLDER] thinks that the inability of Russia to resolve its internal problems represents the greatest threat to the security of Russia,The absence of danger,Moderate danger,The utmost danger,,,,,,,
34,COLORREV,yes,"[PLACEHOLDER] thinks that  a ""color"" revolution in Russia represents the greatest threat to the security of Russia",The absence of danger,Moderate danger,The utmost danger,,,,,,,
