,sim_question,sim_option,survey_total,survey_nonstate,survey_state
0,['1.  A typical member of the Russian elites thinks that'],"{'The national interests of Russia for the most part should be limited to its current territory.': [27.163514277702227, 0], 'The national interests of Russia for the most part should extend beyond its current territory.': [73.37452510678439, 0]}","The nat'l interests of Russia for the most part (1993-2016: extend) (2020: should extend) beyond its current territory.    0.741803
The national interests of Russia for the most part  should be limited to its current territory.                            0.258197
Name: FPNATINT, dtype: float64","The nat'l interests of Russia for the most part (1993-2016: extend) (2020: should extend) beyond its current territory.    0.798077
The national interests of Russia for the most part  should be limited to its current territory.                            0.201923
Name: FPNATINT, dtype: float64","The nat'l interests of Russia for the most part (1993-2016: extend) (2020: should extend) beyond its current territory.    0.7
The national interests of Russia for the most part  should be limited to its current territory.                            0.3
Name: FPNATINT, dtype: float64"
1,['2.  A typical member of the Russian elites thinks that '],"{""Russia has vital interests in parts of the world not only in the 'Near Abroad' and Eastern Europe, but also in various parts of the world."": [60.38460977257791, 13.049952177149192], ""Russia has vital interests in the 'Near Abroad' and Eastern Europe, but not beyond that."": [40.58043224384139, 0], ""Russia has vital interests in the 'Near Abroad' but not beyond that."": [30.853141789362375, 0]}","Russia has vital interests not only in the ""Near Abroad"" and Eastern Europe, but also in various parts of the world    0.701657
Russia has vitally important interests in the whole world.                                                             0.176796
Russia has vitally important interests in the ""Near Abroad,"" but not beyond that.                                      0.121547
Abkhazia                                                                                                               0.000000
The European Economic Community                                                                                        0.000000
                                                                                                                         ...   
Global dimension                                                                                                       0.000000
In the former states of the socialist bloc and developing countries                                                    0.000000
In the states of the former Soviet Union and the Eastern states                                                        0.000000
Kazakhstan                                                                                                             0.000000
Where we sell oil                                                                                                      0.000000
Name: FPNATINT1, Length: 67, dtype: float64","Russia has vital interests not only in the ""Near Abroad"" and Eastern Europe, but also in various parts of the world    0.807229
Russia has vitally important interests in the whole world.                                                             0.132530
Russia has vitally important interests in the ""Near Abroad,"" but not beyond that.                                      0.060241
Abkhazia                                                                                                               0.000000
The European Economic Community                                                                                        0.000000
                                                                                                                         ...   
Global dimension                                                                                                       0.000000
In the former states of the socialist bloc and developing countries                                                    0.000000
In the states of the former Soviet Union and the Eastern states                                                        0.000000
Kazakhstan                                                                                                             0.000000
Where we sell oil                                                                                                      0.000000
Name: FPNATINT1, Length: 67, dtype: float64","Russia has vital interests not only in the ""Near Abroad"" and Eastern Europe, but also in various parts of the world    0.612245
Russia has vitally important interests in the whole world.                                                             0.214286
Russia has vitally important interests in the ""Near Abroad,"" but not beyond that.                                      0.173469
Abkhazia                                                                                                               0.000000
The European Economic Community                                                                                        0.000000
                                                                                                                         ...   
Global dimension                                                                                                       0.000000
In the former states of the socialist bloc and developing countries                                                    0.000000
In the states of the former Soviet Union and the Eastern states                                                        0.000000
Kazakhstan                                                                                                             0.000000
Where we sell oil                                                                                                      0.000000
Name: FPNATINT1, Length: 67, dtype: float64"
2,['3.  A typical member of the Russian elites thinks that'],"{'Military force ultimately decides everything in international relations.': [56.38856067199528, 17.5117969753442]}","Military force ultimately decides everything in international relations.                                                 0.533058
The economic, and not military, potential of a country determines the place and role of a country in the world today.    0.466942
Name: MILROLE, dtype: float64","Military force ultimately decides everything in international relations.                                                 0.669903
The economic, and not military, potential of a country determines the place and role of a country in the world today.    0.330097
Name: MILROLE, dtype: float64","The economic, and not military, potential of a country determines the place and role of a country in the world today.    0.568345
Military force ultimately decides everything in international relations.                                                 0.431655
Name: MILROLE, dtype: float64"
3,['4.  A typical member of the Russian elites thinks that'],"{'Russia and the European Union should be completely independent of each another.': [62.54476126148867, 11.517427301265238], 'Russia and the European Union should be partially independent of each another.': [42.71437560020647, 20.358691710387678], 'Russia should be closely connected with the European Union in the future.': [50.575035721454256, 8.707649853748267]}","3.0                                                                              0.423237
Russia and the European Union should be completely independent of each other.    0.253112
2.0                                                                              0.186722
4.0                                                                              0.107884
Russia should become a member of the European Union in the future.               0.029046
Name: RUS_N_EU, dtype: float64","3.0                                                                              0.438095
Russia and the European Union should be completely independent of each other.    0.285714
2.0                                                                              0.209524
4.0                                                                              0.066667
Russia should become a member of the European Union in the future.               0.000000
Name: RUS_N_EU, dtype: float64","3.0                                                                              0.411765
Russia and the European Union should be completely independent of each other.    0.227941
2.0                                                                              0.169118
4.0                                                                              0.139706
Russia should become a member of the European Union in the future.               0.051471
Name: RUS_N_EU, dtype: float64"
4,['5.  A typical member of the Russian elites thinks that'],"{'Russia and Ukraine should be completely independent countries.': [65.50696811325159, 13.184414135896965], 'Russia and Ukraine should be united into a single country.': [69.87563530476754, 11.647860335768986]}","(1995 to 2004) Russia and Ukraine should be... (2008 to 2020) Completely independent countries.         0.367347
2.0                                                                                                     0.306122
3.0                                                                                                     0.265306
4.0                                                                                                     0.032653
(2004) Russia and Ukraine should be... (2008 to 2020) United into a single country.                     0.020408
(2020) Russia should unite with only part of Ukraine   (DON'T READ!  MARK ONLY IF UNPROMPTED ANSWER)    0.008163
6.0                                                                                                     0.000000
(1995 to 1999) Russia and Ukraine should be united into a single country                                0.000000
Name: RUS_N_UK, dtype: float64","(1995 to 2004) Russia and Ukraine should be... (2008 to 2020) Completely independent countries.         0.361905
2.0                                                                                                     0.266667
3.0                                                                                                     0.266667
4.0                                                                                                     0.066667
(2004) Russia and Ukraine should be... (2008 to 2020) United into a single country.                     0.028571
(2020) Russia should unite with only part of Ukraine   (DON'T READ!  MARK ONLY IF UNPROMPTED ANSWER)    0.009524
6.0                                                                                                     0.000000
(1995 to 1999) Russia and Ukraine should be united into a single country                                0.000000
Name: RUS_N_UK, dtype: float64","(1995 to 2004) Russia and Ukraine should be... (2008 to 2020) Completely independent countries.         0.371429
2.0                                                                                                     0.335714
3.0                                                                                                     0.264286
(2004) Russia and Ukraine should be... (2008 to 2020) United into a single country.                     0.014286
4.0                                                                                                     0.007143
(2020) Russia should unite with only part of Ukraine   (DON'T READ!  MARK ONLY IF UNPROMPTED ANSWER)    0.007143
6.0                                                                                                     0.000000
(1995 to 1999) Russia and Ukraine should be united into a single country                                0.000000
Name: RUS_N_UK, dtype: float64"
5,['6.  A typical member of the Russian elites thinks that'],"{'Russia and Belarus should be completely independent countries.': [54.38519414467275, 4.670143188522717], 'Russia and Belarus should be united into a single country.': [78.33177608053927, 10.116640310451032]}","3.0                                                                                                0.384298
4.0                                                                                                0.206612
(1999 to 2004) Russia and Belarus should be... (2008 to 2020) Completely independent countries.    0.185950
2.0                                                                                                0.140496
(2004) Russia and Belarus should be... (2008 to 2020) United into a single country.                0.082645
6.0                                                                                                0.000000
(1999) Russia and Belarus should be united into a single country.                                  0.000000
Name: RUS_BEL, dtype: float64","3.0                                                                                                0.336538
4.0                                                                                                0.221154
(1999 to 2004) Russia and Belarus should be... (2008 to 2020) Completely independent countries.    0.182692
2.0                                                                                                0.144231
(2004) Russia and Belarus should be... (2008 to 2020) United into a single country.                0.115385
6.0                                                                                                0.000000
(1999) Russia and Belarus should be united into a single country.                                  0.000000
Name: RUS_BEL, dtype: float64","3.0                                                                                                0.420290
4.0                                                                                                0.195652
(1999 to 2004) Russia and Belarus should be... (2008 to 2020) Completely independent countries.    0.188406
2.0                                                                                                0.137681
(2004) Russia and Belarus should be... (2008 to 2020) United into a single country.                0.057971
6.0                                                                                                0.000000
(1999) Russia and Belarus should be united into a single country.                                  0.000000
Name: RUS_BEL, dtype: float64"
6,"[""7.  A typical member of the Russian elites's attitude toward a decision to admit one or more members of the CIS into NATO is""]","{'Rather negative': [53.32835880597778, 15.730918473209838], 'Very negative': [63.75053775321466, 20.219100246417632]}","Both positive and negative   NaN
Rather negative              NaN
Rather positive              NaN
Very negative                NaN
Very positive                NaN
Name: NATOCIS, dtype: float64","Both positive and negative   NaN
Rather negative              NaN
Rather positive              NaN
Very negative                NaN
Very positive                NaN
Name: NATOCIS, dtype: float64","Both positive and negative   NaN
Rather negative              NaN
Rather positive              NaN
Very negative                NaN
Very positive                NaN
Name: NATOCIS, dtype: float64"
7,"[""8.  A typical member of the Russian elites's attitude toward a decision by one or more members of the CIS to join the European Union""]","{'Rather negative': [61.32854624925981, 16.858020486939346], 'Very negative': [63.62534564767168, 15.95911932643472]}","Both positive and negative   NaN
Rather negative              NaN
Rather positive              NaN
Very negative                NaN
Very positive                NaN
Name: EUEXPCIS, dtype: float64","Both positive and negative   NaN
Rather negative              NaN
Rather positive              NaN
Very negative                NaN
Very positive                NaN
Name: EUEXPCIS, dtype: float64","Both positive and negative   NaN
Rather negative              NaN
Rather positive              NaN
Very negative                NaN
Very positive                NaN
Name: EUEXPCIS, dtype: float64"
8,['9.  A typical member of the Russian elites would prefer Russia to form a coalition with'],"{'China': [46.841300950109485, 10.825215510998136], 'European Union': [39.11431552677759, 0], 'None of the above': [46.92871042558026, 9.192993807365736], 'US': [44.698364444375116, 8.608633301590862]}","European Union       0.326271
None of the above    0.305085
China                0.292373
US                   0.076271
Name: COALITION, dtype: float64","China                0.36
None of the above    0.33
European Union       0.28
US                   0.03
Name: COALITION, dtype: float64","European Union       0.360294
None of the above    0.286765
China                0.242647
US                   0.110294
Name: COALITION, dtype: float64"
9,['10.  A typical member of the Russian elites thinks that the crisis in Ukraine was led by'],"{'Attempts by Yanukovych to maneuver between Russia and the European Union.': [36.14061080094119, 0]}","Attempts by Russia to ""buy"" Yanukovych's loyalty                                                                           NaN
Attempts by Yanukovych to maneuver between Russia and the European Union                                                   NaN
Attempts by the US to foment another ""color"" revolution in Ukraine                                                         NaN
The Ukrainian opposition, having resorted to armed methods of protest on the streets                                       NaN
The corrupt regime of former Ukrainian President Yanukovych                                                                NaN
The hopes of regular Ukrainians that association with the European Union would solve fundamental problems in the country   NaN
The persistent actions of the European Union to bring Ukraine into its sphere of influence                                 NaN
Name: UKRCRISIS1, dtype: float64","Attempts by Russia to ""buy"" Yanukovych's loyalty                                                                           NaN
Attempts by Yanukovych to maneuver between Russia and the European Union                                                   NaN
Attempts by the US to foment another ""color"" revolution in Ukraine                                                         NaN
The Ukrainian opposition, having resorted to armed methods of protest on the streets                                       NaN
The corrupt regime of former Ukrainian President Yanukovych                                                                NaN
The hopes of regular Ukrainians that association with the European Union would solve fundamental problems in the country   NaN
The persistent actions of the European Union to bring Ukraine into its sphere of influence                                 NaN
Name: UKRCRISIS1, dtype: float64","Attempts by Russia to ""buy"" Yanukovych's loyalty                                                                           NaN
Attempts by Yanukovych to maneuver between Russia and the European Union                                                   NaN
Attempts by the US to foment another ""color"" revolution in Ukraine                                                         NaN
The Ukrainian opposition, having resorted to armed methods of protest on the streets                                       NaN
The corrupt regime of former Ukrainian President Yanukovych                                                                NaN
The hopes of regular Ukrainians that association with the European Union would solve fundamental problems in the country   NaN
The persistent actions of the European Union to bring Ukraine into its sphere of influence                                 NaN
Name: UKRCRISIS1, dtype: float64"
