Variables,Option1before,Option2before,Option3before,Option4before,Option1after,Option2after,Option3after,Option4after
ABORTION,,"[97.15378365640572, 6.678844832741117]","[97.9896341393753, 0]",,,"[99.94227786789111, 0.03791711815446771]",,
ARMY,"[96.56895097238413, 4.571018771716615]","[78.76866931839419, 19.560600695964677]","[85.92479073492035, 14.312830428927889]",,"[69.11985171251915, 28.2166039539525]",,"[91.51117515347138, 11.504451727235194]",
CHINAF,"[99.9701726132562, 0.007634082738550987]","[99.53538367060408, 1.146488547737063]",,,"[85.75264628086194, 0]","[99.68495071945695, 0.4840302545729369]","[95.91298732886736, 6.862397864872982]",
COALITION,"[97.37836108351232, 5.958264567782994]","[55.79968735552662, 6.687590137148696]","[77.43363337877675, 0]",,"[99.81745926879971, 0.26290431586668267]",,,
COLORREV,,"[94.5300185828917, 7.672280733852922]","[98.08218606429618, 7.037632389283232]",,,,"[99.23756308643031, 2.9121926101921796]",
COMPECO,"[59.396359892965606, 6.306043471225483]","[90.63972593556883, 12.9970195530426]",,,,"[93.39890556946467, 12.709813669506877]",,
COMPPOL,,"[92.11387734697452, 13.69728753491922]","[82.57149548934555, 28.56667908061729]",,,"[91.92272780634565, 14.497832681686347]","[90.154666154171, 14.223548003915024]",
CONSTPARLPRES,"[96.91180486290803, 7.5322803464845345]","[90.81039349316721, 18.006059078547956]",,,"[97.08776158769929, 5.992164577189823]","[68.81819594992899, 0]","[51.30232054700635, 0]",
CONSTREFGOALS,,"[95.79161827918568, 10.450950501812414]","[97.89980504194048, 4.364712017504921]",,,"[96.73920037696837, 9.21696226074726]","[73.76812087820022, 19.77947883725544]",
CPSU,"[99.880974331807, 0]","[98.55501788973955, 2.5919807770175938]",,,"[87.11902490295518, 0]","[99.95349610832528, 0.038800282826737545]",,
CYBERWEST,,"[94.97008223741561, 0.13626755211985697]","[98.78481994808452, 3.860897363841569]",,,,"[99.72404736174231, 0.9998459043832529]",
DANENVIR,,"[87.80954995179654, 14.329259814807402]","[92.95739320831659, 12.060226268935319]",,,"[62.051878723966745, 6.197566543898774]","[96.14692508105092, 9.350184028155173]",
DANIDEA,,"[91.47313260535797, 14.68062762476662]","[96.7245017490625, 0.9120639346900745]",,"[84.54263056490592, 12.949711028334708]","[89.31356201087804, 16.028361993503264]","[86.08853263585166, 0]",
DANINEQ,,"[98.76679887525474, 1.5063015634706187]","[97.11447192403543, 4.751323468159619]",,,,"[95.63727834797358, 8.763056153991968]",
DANINFL,,"[96.23990560218579, 8.05326131249036]","[78.55471135229682, 13.983303216707277]",,,"[80.23669757687364, 0]","[93.3999233936465, 12.489765635018932]",
DANOIL,"[69.18928309339898, 11.641354368840126]","[96.83122195658822, 4.342328176317479]","[97.26070963475678, 3.2189575310791847]",,,"[82.36931860805814, 16.48788274057151]","[95.6239787372108, 9.795541517019744]",
DANPROTEST,,"[92.93840587264745, 12.644706623349565]","[90.4600465508511, 16.47670442994494]",,,,"[98.32952077014583, 3.9846454440685974]",
DANSANCT,,"[99.13289850546798, 0.94355013095528]","[97.52612459333841, 5.8730290873373185]",,,,"[99.97166943629654, 0.01982727245954055]",
DANSUCC,"[98.81320480385699, 2.4526106240753784]","[89.83708200989517, 22.045246358506606]","[93.57417449371226, 10.618723802498232]",,,,"[97.38964114227895, 8.044846165739456]",
DEFINDIV,,"[92.79896833973957, 11.14298183573929]","[90.13890778273132, 16.981029492017534]",,,"[89.72623078498026, 13.664111560388788]","[92.93389556985181, 11.791408480824506]",
DEFSOC,,"[94.2986220473873, 7.668791112793706]","[97.01762043903817, 1.6185520227839791]",,,"[91.34286985260384, 11.704432496590895]","[86.98956773844938, 19.330789122873075]",
ESTONIAF,"[91.29618247783455, 0.03549555247136036]","[99.00584808675286, 3.594784065489432]","[99.2473039441877, 0.9363143112884263]",,,"[96.47969128704045, 12.817130937169829]","[97.8322930056605, 5.4581338297108895]",
EUEXP,,"[94.66828710191754, 13.453179840335862]","[94.73893650484484, 10.042118581713325]",,,"[69.33409532685965, 2.331318533495004]","[99.56630044872459, 1.6434673073582786]",
EUF,,"[97.5514239381557, 2.2629012202512584]","[95.44836621264726, 4.766636203375965]",,,,"[99.96163722577143, 0.023885693178902604]",
EURCIV,"[78.22085044202501, 17.666711432706137]","[95.69265922492875, 5.183328534539387]","[35.243527169090044, 0]",,"[84.83145558514578, 14.776665285196415]","[87.90173022232742, 11.479145141828711]","[77.82135981400815, 17.83920407348135]",
EUROPHIL,"[79.24556317273606, 0]","[99.81500152750792, 0.18701510357780218]",,,,"[99.53627015180543, 0.6076360123477255]",,
